checking coverage with
forcefield = 04_fit-forcefield/fb-fit/forcefield/force-field.offxml
dataset = 02_curate-data/datasets/combined-td.json
finished loading collection after 0.3 s
finished to_records after 0.3 s
finished counting results after 37.7 s
205 / 225 (91.1%) tors ids covered:
t90     72   47   [#7X2:1]~[#7X2:2]-[#6X3:3]~[#6X3:4]
t91     13   10   [#7X2:1]~[#7X2:2]-[#6X4:3]-[#6X3:4]
t92     23   16   [#7X2:1]~[#7X2:2]-[#6X4:3]~[#1:4]
t93    172   78   [*:1]-[#6X4:2]-[#8X2:3]-[#1:4]
t94     91   48   [#6X4:1]-[#6X4:2]-[#8X2H1:3]-[#1:4]
t95   1373  345   [*:1]-[#6X4:2]-[#8X2H0:3]-[*:4]
t96    162   75   [#6X4:1]-[#6X4:2]-[#8X2H0:3]-[#6X4:4]
t97    140   84   [#6X4:1]-[#6X4:2]-[#8X2:3]-[#6X3:4]
t98     40   15   [#6X4:1]-[#8X2:2]-[#6X4:3]-[#8X2:4]
t99     14   14   [#6X4:1]-[#8X2:2]-[#6X4:3]-[#7X3:4]
t100    12    6   [#6X3:1]-[#8X2:2]-[#6X4;r3:3]-@[#6X4;r3:4]
t101     3    3   [#6X3:1]-[#8X2:2]-[#6X4;r3:3]-[#1:4]
t102     6    6   [#1:1]-[#8X2:2]-[#6X4;r3:3]-[#1:4]
t103     8    8   [#1:1]-[#8X2:2]-[#6X4;r3:3]-[#6X4:4]
t104    47   23   [#1:1]-[#8X2:2]-[#6X4;r3:3]-[#6X4;r3:4]
t105   310  133   [*:1]~[#6X3:2]-[#8X2:3]-[*:4]
t106   129   67   [*:1]~[#6X3:2]-[#8X2:3]-[#1:4]
t107    80   75   [*:1]~[#6X3:2](=[#8,#16,#7])-[#8X2H0:3]-[*:4]
t108    76   74   [*:1]~[#6X3:2](=[#8,#16,#7])-[#8:3]-[#1:4]
t109    59   58   [#1:1]-[#8X2:2]-[#6X3:3]=[#8X1:4]
t110    50   49   [#8,#16,#7:1]=[#6X3:2]-[#8X2H0:3]-[#6X4:4]
t111   340  127   [*:1]-[#8X2:2]@[#6X3:3]~[*:4]
t112     8    4   [*:1]-[#8X2+1:2]=[#6X3:3]-[*:4]
t113    18    8   [*:1]=[#8X2+1:2]-[#6:3]~[*:4]
t114   180   16   [*:1]~[#16:2]=,:[#6:3]~[*:4]
t115g  347  184   [*:1]-[#16X2:2]-[#6:3]~[*:4]
t115h    0    0   [*:1]-[#16X3+1:2]-[#6:3]~[*:4]
t116g   79   74   [*:1]-[#16X2:2]-[#6X3:3]-[#1:4]
t116h  209   63   [*:1]-[#16X2:2]-[#6X4:3]-[#1:4]
t116i    0    0   [*:1]-[#16X3+1:2]-[#6X3:3]-[#1:4]
t116j    0    0   [*:1]-[#16X3+1:2]-[#6X4:3]-[#1:4]
t117   206  107   [#6X3:1]-@[#16X2,#16X1-1,#16X3+1:2]-@[#6X3,#7X2;r5:3]=@[#6,#7;r5:4]
t118g 1487  142   [*:1]~[#16X4:2]-[#6X4:3]-[*:4]
t118h   43    7   [*:1]~[#16X3!+1:2]-[#6X4:3]-[*:4]
t119g  204   45   [#6X4:1]-[#16X4:2]-[#6X4:3]-[#1:4]
t119h   15    3   [#6X4:1]-[#16X3+0:2]-[#6X4:3]-[#1:4]
t120g   55   31   [#6X4:1]-[#16X4:2]-[#6X4:3]~[#6X4:4]
t120h    2    2   [#6X4:1]-[#16X3+0:2]-[#6X4:3]~[#6X4:4]
t121g  432   76   [*:1]~[#16X4:2]-[#6X3:3]~[*:4]
t121h   96   27   [*:1]~[#16X3+0:2]-[#6X3:3]~[*:4]
t122g   10    5   [#6X2:1]-[#16X4:2]-[#6X3:3]~[*:4]
t122h    8    4   [#6X2:1]-[#16X3+0:2]-[#6X3:3]~[*:4]
t122i   20    5   [#6X3:1]-[#16X4:2]-[#6X3:3]~[*:4]
t122j   28    7   [#6X3:1]-[#16X3+0:2]-[#6X3:3]~[*:4]
t122k   42   21   [#6X4:1]-[#16X4:2]-[#6X3:3]~[*:4]
t122l    4    2   [#6X4:1]-[#16X3+0:2]-[#6X3:3]~[*:4]
t123     0    0   [*:1]~[#15:2]-[#6:3]-[*:4]
t123a  126   10   [*:1]~[#15:2]-[#6X4:3]-[*:4]
t124    54    7   [*:1]~[#15:2]-[#6X3:3]~[*:4]
t125     9    9   [*:1]-[#8:2]-[#8:3]-[*:4]
t126     3    3   [*:1]-[#8:2]-[#8H1:3]-[*:4]
t127   111   59   [*:1]~[#8X2:2]-[#7:3]~[*:4]
t128    16    8   [*:1]-[#8X2r5:2]-;@[#7X3r5:3]~[*:4]
t129    47   46   [*:1]-[#8X2r5:2]-;@[#7X2r5:3]~[*:4]
t130g    0    0   [*:1]~[#7X4:2]-[#7X4:3]~[*:4]
t130h    0    0   [*:1]~[#7X4:2]-[#7X3:3]~[*:4]
t130i    2    1   [*:1]~[#7X3:2]-[#7X4:3]~[*:4]
t130j   41   15   [*:1]~[#7X3:2]-[#7X3:3]~[*:4]
t131    67   31   [#1:1]-[#7X4,#7X3:2]-[#7X4,#7X3:3]-[#1:4]
t132g    0    0   [#6X4:1]-[#7X4:2]-[#7X4:3]-[#1:4]
t132h   18    8   [#6X4:1]-[#7X4:2]-[#7X3:3]-[#1:4]
t132i    3    1   [#6X4:1]-[#7X3:2]-[#7X4:3]-[#1:4]
t132j   44   25   [#6X4:1]-[#7X3:2]-[#7X3:3]-[#1:4]
t133g    0    0   [#6X4:1]-[#7X4:2]-[#7X4:3]-[#6X4:4]
t133h    0    0   [#6X4:1]-[#7X4:2]-[#7X3:3]-[#6X4:4]
t133i   20    5   [#6X4:1]-[#7X3:2]-[#7X4:3]-[#6X4:4]
t133j   13   10   [#6X4:1]-[#7X3:2]-[#7X3:3]-[#6X4:4]
t134    44   11   [*:1]-[#7X4,#7X3:2]-[#7X3$(*~[#6X3,#6X2]):3]~[*:4]
t135    32    8   [*:1]-[#7X3$(*-[#6X3,#6X2]):2]-[#7X3$(*-[#6X3,#6X2]):3]-[*:4]
t136    56   14   [*:1]-[#7X3$(*-[#6X3,#6X2])r5:2]-@[#7X3$(*-[#6X3,#6X2])r5:3]~[*:4]
t137    19   15   [*:1]@[#7X2:2]@[#7X2:3]@[#7X2,#6X3:4]
t138   246  108   [*:1]~[#7X2:2]-[#7X3:3]~[*:4]
t138a    0    0   [*:1]~[#7X2:2]-[#7X4:3]~[*:4]
t139    21   21   [*:1]=[#7X2:2]-[#7X2:3]=[*:4]
t140    92   92   [*:1]~[#7X2:2]=,:[#7X2:3]~[*:4]
t141    14    6   [*:1]~[#7X3+1:2]=,:[#7X2:3]~[*:4]
t141a   48   10   [*:1]~[#7x3:2]-[#7x3,#6x3:3]~[*:4]
t141b    2    1   [*:1]~[#7x2:2]-[#7x3:3]~[*:4]
t141c   54    9   [*:1]~[#6x3:2](~[#7,#8,#16])-[#6x3:3]~[*:4]
t142g   23   17   [*:1]-[#16X2:2]-[!#6;X2:3]~[*:4]
t142h   20    9   [*:1]-[#16X2:2]-[!#6;X3:3]~[*:4]
t142i   48   16   [*:1]-[#16X2:2]-[!#6;X4:3]~[*:4]
t142j    0    0   [*:1]-[#16X3+1:2]-[!#6;X2:3]~[*:4]
t142k    0    0   [*:1]-[#16X3+1:2]-[!#6;X3:3]~[*:4]
t142l    0    0   [*:1]-[#16X3+1:2]-[!#6;X4:3]~[*:4]
t143g   35   16   [*:1]~[#16X4:2]-[#7X2:3]~[*:4]
t143h  145   51   [*:1]~[#16X4:2]-[#7X3:3]~[*:4]
t143i    0    0   [*:1]~[#16X4:2]-[#7X4:3]~[*:4]
t143j    6    6   [*:1]~[#16X3+0:2]-[#7X2:3]~[*:4]
t143k   14    5   [*:1]~[#16X3+0:2]-[#7X3:3]~[*:4]
t143l    6    2   [*:1]~[#16X3+0:2]-[#7X4:3]~[*:4]
t144    38   35   [#6X4:1]-[#16X4,#16X3+0:2]-[#7X4,#7X3:3]-[#1:4]
t145    23   20   [#6X3:1]-[#16X4,#16X3+0:2]-[#7X4,#7X3:3]-[#1:4]
t146    37   28   [#6X4:1]-[#16X4,#16X3+0:2]-[#7X4,#7X3:3]-[#6X4:4]
t147    34   22   [#6X3:1]-[#16X4,#16X3+0:2]-[#7X4,#7X3:3]-[#6X4:4]
t148   142   66   [#8X1:1]~[#16X4,#16X3+0:2]-[#7X4,#7X3:3]-[#1:4]
t149   169   58   [#8X1:1]~[#16X4,#16X3+0:2]-[#7X4,#7X3:3]-[#6X4:4]
t150    10    9   [#6X3:1]-[#16X4,#16X3+0:2]-[#7X3:3]-[#6X3:4]
t151    19   19   [#6X4:1]-[#16X4,#16X3+0:2]-[#7X3:3]-[#6X3:4]
t152    74   33   [#8X1:1]~[#16X4,#16X3+0:2]-[#7X3:3]-[#6X3:4]
t153    25   13   [#8X1:1]~[#16X4,#16X3+0:2]-[#7X3:3]-[#7X2:4]
t154    72   21   [*:1]~[#16X4,#16X3+0:2]=,:[#7X2:3]-,:[*:4]
t155     9    9   [#6X4:1]-[#16X4,#16X3+0:2]-[#7X2:3]~[#6X3:4]
t156    33   20   [#8X1:1]~[#16X4,#16X3+0:2]-[#7X2:3]~[#6X3:4]
t157g   75   20   [*:1]~[#16X4:2]-[#8X2:3]-[*:4]
t157h   70   28   [*:1]~[#16X3+0:2]-[#8X2:3]-[*:4]
t158     5    5   [*:1]-[#16X2,#16X3+1:2]-[#16X2,#16X3+1:3]-[*:4]
t159   162   44   [*:1]-[#8X2:2]-[#15:3]~[*:4]
t160    84   34   [#8X2:1]-[#15:2]-[#8X2:3]-[#6X4:4]
t161   139   29   [*:1]~[#7:2]-[#15:3]~[*:4]
t162    52   27   [*:1]-[#7:2]-[#15:3]=[*:4]
t163    16   16   [#6X3:1]-[#7:2]-[#15:3]=[*:4]
t164    15    5   [*:1]~[#7:2]=[#15:3]~[*:4]
t165    13   13   [*:1]-[*:2]#[*:3]-[*:4]
t166   195   74   [*:1]~[*:2]-[*:3]#[*:4]
t167    41   28   [*:1]~[*:2]=[#6,#7,#16,#15;X2:3]=[*:4]

missing ids:
    0   t18b   [*:1]-[#6X4:2]-[#6X3:3](~!@[#7X3])~!@[#7X3:4]
    1   t59g   [#1:1]-[#7X4:2]-[#6X4;r3:3]-[*:4]
    2   t60g   [#1:1]-[#7X4:2]-[#6X4;r3:3]-[#6X4;r3:4]
    3   t61g   [!#1:1]-[#7X4:2]-[#6X4;r3:3]-[*:4]
    4   t62g   [!#1:1]-[#7X4:2]-[#6X4;r3:3]-[#6X4;r3:4]
    5   t87a   [*:1]-[#7X3:2]~!@[#6X3:3](~!@[#7X3])~!@[#7X3:4]
    6  t115h   [*:1]-[#16X3+1:2]-[#6:3]~[*:4]
    7  t116i   [*:1]-[#16X3+1:2]-[#6X3:3]-[#1:4]
    8  t116j   [*:1]-[#16X3+1:2]-[#6X4:3]-[#1:4]
    9   t123   [*:1]~[#15:2]-[#6:3]-[*:4]
   10  t130g   [*:1]~[#7X4:2]-[#7X4:3]~[*:4]
   11  t130h   [*:1]~[#7X4:2]-[#7X3:3]~[*:4]
   12  t132g   [#6X4:1]-[#7X4:2]-[#7X4:3]-[#1:4]
   13  t133g   [#6X4:1]-[#7X4:2]-[#7X4:3]-[#6X4:4]
   14  t133h   [#6X4:1]-[#7X4:2]-[#7X3:3]-[#6X4:4]
   15  t138a   [*:1]~[#7X2:2]-[#7X4:3]~[*:4]
   16  t142j   [*:1]-[#16X3+1:2]-[!#6;X2:3]~[*:4]
   17  t142k   [*:1]-[#16X3+1:2]-[!#6;X3:3]~[*:4]
   18  t142l   [*:1]-[#16X3+1:2]-[!#6;X4:3]~[*:4]
   19  t143i   [*:1]~[#16X4:2]-[#7X4:3]~[*:4]
finished after 37.7 s
