checking coverage with
forcefield = 04_fit-forcefield/fb-fit/forcefield/force-field.offxml
dataset = 02_curate-data/sage/td.json
finished loading collection after 0.3 s
finished to_records after 2.1 s
finished counting results after 34.3 s
181 / 210 (86.2%) tors ids covered:
t96    162   [#6X4:1]-[#6X4:2]-[#8X2H0:3]-[#6X4:4]
t97    139   [#6X4:1]-[#6X4:2]-[#8X2:3]-[#6X3:4]
t98     40   [#6X4:1]-[#8X2:2]-[#6X4:3]-[#8X2:4]
t99     14   [#6X4:1]-[#8X2:2]-[#6X4:3]-[#7X3:4]
t100    12   [#6X3:1]-[#8X2:2]-[#6X4;r3:3]-@[#6X4;r3:4]
t101     3   [#6X3:1]-[#8X2:2]-[#6X4;r3:3]-[#1:4]
t102     6   [#1:1]-[#8X2:2]-[#6X4;r3:3]-[#1:4]
t103     8   [#1:1]-[#8X2:2]-[#6X4;r3:3]-[#6X4:4]
t104    47   [#1:1]-[#8X2:2]-[#6X4;r3:3]-[#6X4;r3:4]
t105   308   [*:1]~[#6X3:2]-[#8X2:3]-[*:4]
t106   127   [*:1]~[#6X3:2]-[#8X2:3]-[#1:4]
t107    79   [*:1]~[#6X3:2](=[#8,#16,#7])-[#8X2H0:3]-[*:4]
t108    75   [*:1]~[#6X3:2](=[#8,#16,#7])-[#8:3]-[#1:4]
t109    58   [#1:1]-[#8X2:2]-[#6X3:3]=[#8X1:4]
t110    49   [#8,#16,#7:1]=[#6X3:2]-[#8X2H0:3]-[#6X4:4]
t111   338   [*:1]-[#8X2:2]@[#6X3:3]~[*:4]
t112     8   [*:1]-[#8X2+1:2]=[#6X3:3]-[*:4]
t113    18   [*:1]=[#8X2+1:2]-[#6:3]~[*:4]
t114   180   [*:1]~[#16:2]=,:[#6:3]~[*:4]
t115   324   [*:1]-[#16X2,#16X3+1:2]-[#6:3]~[*:4]
t116x   73   [*:1]-[#16X2:2]-[#6X3:3]-[#1:4]
t116a  204   [*:1]-[#16X2:2]-[#6X4:3]-[#1:4]
t116b    0   [*:1]-[#16X3+1:2]-[#6X3:3]-[#1:4]
t116c    0   [*:1]-[#16X3+1:2]-[#6X4:3]-[#1:4]
t117   205   [#6X3:1]-@[#16X2,#16X1-1,#16X3+1:2]-@[#6X3,#7X2;r5:3]=@[#6,#7;r5:4]
t118x 1546   [*:1]~[#16X4:2]-[#6X4:3]-[*:4]
t118a   37   [*:1]~[#16X3!+1:2]-[#6X4:3]-[*:4]
t119   214   [#6X4:1]-[#16X4,#16X3+0:2]-[#6X4:3]-[#1:4]
t120    57   [#6X4:1]-[#16X4,#16X3+0:2]-[#6X4:3]~[#6X4:4]
t121x  394   [*:1]~[#16X4:2]-[#6X3:3]~[*:4]
t121a   48   [*:1]~[#16X3+0:2]-[#6X3:3]~[*:4]
t122a    0   [#6X2:1]-[#16X4:2]-[#6X3:3]~[*:4]
t122b    0   [#6X3:1]-[#16X4:2]-[#6X3:3]~[*:4]
t122c    0   [#6X4:1]-[#16X4:2]-[#6X3:3]~[*:4]
t122d    0   [#6X2:1]-[#16X3+0:2]-[#6X3:3]~[*:4]
t122e    0   [#6X3:1]-[#16X3+0:2]-[#6X3:3]~[*:4]
t122f    0   [#6X4:1]-[#16X3+0:2]-[#6X3:3]~[*:4]
t122    66   [#6:1]-[#16X4,#16X3+0:2]-[#6X3:3]~[*:4]
t123     0   [*:1]~[#15:2]-[#6:3]-[*:4]
t123a  126   [*:1]~[#15:2]-[#6X4:3]-[*:4]
t124    54   [*:1]~[#15:2]-[#6X3:3]~[*:4]
t125     9   [*:1]-[#8:2]-[#8:3]-[*:4]
t126     3   [*:1]-[#8:2]-[#8H1:3]-[*:4]
t127   107   [*:1]~[#8X2:2]-[#7:3]~[*:4]
t128    10   [*:1]-[#8X2r5:2]-;@[#7X3r5:3]~[*:4]
t129    47   [*:1]-[#8X2r5:2]-;@[#7X2r5:3]~[*:4]
t130b    0   [*:1]-[#7X3:2]-[#7X3:3]-[*:4]
t130    42   [*:1]~[#7X4,#7X3:2]-[#7X4,#7X3:3]~[*:4]
t131    54   [#1:1]-[#7X4,#7X3:2]-[#7X4,#7X3:3]-[#1:4]
t132b    0   [#6X4:1]-[#7X3:2]-[#7X3:3]-[#1:4]
t133x    0   [#6X4:1]-[#7X4:2]-[#7X4:3]-[#6X4:4]
t133a    0   [#6X4:1]-[#7X4:2]-[#7X3:3]-[#6X4:4]
t132    46   [#6X4:1]-[#7X4,#7X3:2]-[#7X4,#7X3:3]-[#1:4]
t134    40   [*:1]-[#7X4,#7X3:2]-[#7X3$(*~[#6X3,#6X2]):3]~[*:4]
t135    32   [*:1]-[#7X3$(*-[#6X3,#6X2]):2]-[#7X3$(*-[#6X3,#6X2]):3]-[*:4]
t136    56   [*:1]-[#7X3$(*-[#6X3,#6X2])r5:2]-@[#7X3$(*-[#6X3,#6X2])r5:3]~[*:4]
t137    19   [*:1]@[#7X2:2]@[#7X2:3]@[#7X2,#6X3:4]
t138   244   [*:1]~[#7X2:2]-[#7X3:3]~[*:4]
t138a    0   [*:1]~[#7X2:2]-[#7X4:3]~[*:4]
t139    21   [*:1]=[#7X2:2]-[#7X2:3]=[*:4]
t140    92   [*:1]~[#7X2:2]=,:[#7X2:3]~[*:4]
t141    14   [*:1]~[#7X3+1:2]=,:[#7X2:3]~[*:4]
t142a    0   [*:1]-[#16X2:2]-[!#6;X2:3]~[*:4]
t142b    0   [*:1]-[#16X2:2]-[!#6;X3:3]~[*:4]
t142c    0   [*:1]-[#16X2:2]-[!#6;X4:3]~[*:4]
t142d    0   [*:1]-[#16X3+1:2]-[!#6;X2:3]~[*:4]
t142e    0   [*:1]-[#16X3+1:2]-[!#6;X3:3]~[*:4]
t142f    0   [*:1]-[#16X3+1:2]-[!#6;X4:3]~[*:4]
t143a    0   [*:1]~[#16X4:2]-[#7X2:3]~[*:4]
t143b    0   [*:1]~[#16X4:2]-[#7X3:3]~[*:4]
t143c    0   [*:1]~[#16X4:2]-[#7X4:3]~[*:4]
t143d    0   [*:1]~[#16X3+0:2]-[#7X2:3]~[*:4]
t143e    0   [*:1]~[#16X3+0:2]-[#7X3:3]~[*:4]
t143f    0   [*:1]~[#16X3+0:2]-[#7X4:3]~[*:4]
t141a   48   [*:1]~[#7x3:2]-[#7x3,#6x3:3]~[*:4]
t141b    2   [*:1]~[#7x2:2]-[#7x3:3]~[*:4]
t141c   54   [*:1]~[#6x3:2](~[#7,#8,#16])-[#6x3:3]~[*:4]
t142    56   [*:1]-[#16X2,#16X3+1:2]-[!#6:3]~[*:4]
t143   189   [*:1]~[#16X4,#16X3+0:2]-[#7:3]~[*:4]
t144    52   [#6X4:1]-[#16X4,#16X3+0:2]-[#7X4,#7X3:3]-[#1:4]
